dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10;max;gap_1;gap_2;gap_3;gap_4;gap_5;gap_6;gap_7;gap_8;gap_9;gap_10;avg_gap;norm_avg_gap;is_best_1;is_best_2;is_best_3;is_best_4;is_best_5;is_best_6;is_best_7;is_best_8;is_best_9;is_best_10;sum_is_best
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\30kroA150_v4_p1.msop;113;113;113;113;113;113;113;113;113;113;113;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\30kroA150_v4_p2.msop;5673;5673;5673;5673;5673;5673;5673;5673;5673;5673;5673;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\30kroB150_v4_p1.msop;99;99;99;99;99;99;99;99;99;99;99;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\30kroB150_v4_p2.msop;4768;4768;4768;4738;4768;4768;4738;4768;4768;4738;4768;0;0;0;0,006291946;0;0;0,006291946;0;0;0,006291946;0,001887584;0,300000032;1;1;1;0;1;1;0;1;1;0;7
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\31pr152_v4_p1.msop;63;63;63;63;63;63;63;63;63;63;63;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\31pr152_v4_p2.msop;3285;3285;3285;3285;3285;3285;3285;3285;3285;3285;3285;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\32u159_v4_p1.msop;87;87;87;87;87;87;87;87;87;87;87;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\32u159_v4_p2.msop;4480;4480;4480;4480;4480;4480;4480;4480;4480;4480;4480;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\39rat195_v4_p1.msop;79;79;79;79;79;79;79;79;79;79;79;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\39rat195_v4_p2.msop;3940;3940;3940;3940;3940;3940;3940;3940;3940;3940;3940;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\40d198_v4_p1.msop;6;6;6;6;6;6;6;6;6;6;6;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\40d198_v4_p2.msop;313;313;313;313;313;313;313;313;313;313;313;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\40kroa200_v4_p1.msop;143;143;139;143;142;143;143;143;143;143;143;0;0;0,027972028;0;0,006993007;0;0;0;0;0;0,003496503;0,124999982;1;1;0;1;0;1;1;1;1;1;8
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\40kroa200_v4_p2.msop;7098;7098;7080;7098;7098;7098;7098;7098;7098;7098;7098;0;0;0,002535926;0;0;0;0;0;0;0;0,000253593;0,100000158;1;1;0;1;1;1;1;1;1;1;9
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\40krob200_v4_p1.msop;135;135;135;135;135;135;135;135;135;135;135;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\40krob200_v4_p2.msop;6665;6665;6665;6665;6733;6733;6665;6733;6665;6665;6733;0,01009951;0,01009951;0,01009951;0,01009951;0;0;0,01009951;0;0,01009951;0,01009951;0,007069657;0,7;0;0;0;0;1;1;0;1;0;0;3
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\45ts225_v4_p1.msop;127;127;127;127;127;127;127;127;127;127;127;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\45ts225_v4_p2.msop;6522;6559;6559;6559;6559;6559;6522;6559;6559;6559;6559;0,005641104;0;0;0;0;0;0,005641104;0;0;0;0,001128221;0,200000035;0;1;1;1;1;1;0;1;1;1;8
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\45tsp225_v4_p1.msop;90;90;90;90;90;90;90;90;90;90;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\45tsp225_v4_p2.msop;4579;4579;4579;4579;4579;4579;4579;4579;4579;4579;4579;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\46pr226_v4_p1.msop;100;100;100;100;100;100;100;100;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\46pr226_v4_p2.msop;5063;5063;5063;5063;5063;5063;5063;5063;5063;5063;5063;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\53gil262_v4_p1.msop;111;111;111;111;113;111;113;111;111;111;113;0,017699115;0,017699115;0,017699115;0,017699115;0;0,017699115;0;0,017699115;0,017699115;0,017699115;0,014159292;0,8;0;0;0;0;1;0;1;0;0;0;2
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\53gil262_v4_p2.msop;5792;5792;5792;5669;5792;5752;5792;5792;5669;5792;5792;0;0;0;0,021236188;0;0,006906077;0;0;0,021236188;0;0,004937845;0,232520309;1;1;1;0;1;0;1;1;0;1;7
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\53pr264_v4_p1.msop;131;131;131;131;131;131;131;131;131;131;131;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\53pr264_v4_p2.msop;6588;6588;6588;6588;6588;6588;6588;6588;6588;6588;6588;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\56a280_v4_p1.msop;137;134;137;137;137;137;137;134;137;137;137;0;0,02189781;0;0;0;0;0;0,02189781;0;0;0,004379562;0,2;1;0;1;1;1;1;1;0;1;1;8
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\56a280_v4_p2.msop;6874;6998;6874;6998;6998;6874;6998;6998;6998;6998;6998;0,017719348;0;0,017719348;0;0;0,017719348;0;0;0;0;0,005315805;0,300000034;0;1;0;1;1;0;1;1;1;1;7
