dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\53gil262_v4_p1.msop;231;233;233;233;233;234;233;233;233;233
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\53gil262_v4_p2.msop;11736;11737;11737;11736;11753;11774;11737;11736;11736;11736
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\53pr264_v4_p1.msop;172;172;172;172;172;172;172;172;172;172
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\53pr264_v4_p2.msop;8754;8754;8754;8754;8754;8754;8754;8754;8754;8754
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\56a280_v4_p1.msop;212;212;212;212;212;212;212;212;212;212
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\56a280_v4_p2.msop;10746;10746;10746;10746;10746;10746;10746;10746;10746;10746
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\60pr299_v4_p1.msop;201;201;201;203;201;203;201;201;203;201
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\60pr299_v4_p2.msop;10305;10305;10305;10305;10305;10305;10305;10305;10305;10305
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\64lin318_v4_p1.msop;312;312;312;312;312;312;312;312;312;312
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\64lin318_v4_p2.msop;15858;15858;15858;15858;15858;15858;15858;15858;15858;15858
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\80rd400_v4_p1.msop;399;399;399;399;399;399;399;399;399;399
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\80rd400_v4_p2.msop;20158;20158;20158;20158;20158;20158;20158;20158;20158;20158
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\84fl417_v4_p1.msop;416;416;416;416;416;416;416;416;416;416
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\84fl417_v4_p2.msop;21048;21048;21048;21048;21048;21048;21048;21048;21048;21048
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\88pr439_v4_p1.msop;438;438;438;438;438;438;438;438;438;438
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\88pr439_v4_p2.msop;22177;22177;22177;22177;22177;22177;22177;22177;22177;22177
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\89pcb442_v4_p1.msop;441;441;441;441;441;441;441;441;441;441
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\89pcb442_v4_p2.msop;22323;22323;22323;22323;22323;22323;22323;22323;22323;22323
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\99d493_v4_p1.msop;487;485;484;485;487;486;486;487;487;487
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\99d493_v4_p2.msop;24663;24610;24576;24556;24592;24540;24604;24585;24603;24620
