dataset_name;a;a;a;obj_1;duration_1;obj_2;duration_2;obj_3;duration_3;obj_4;duration_4;obj_5;duration_5;best;gap_1;gap_2;gap_3;gap_4;gap_5;average_gap;avg_avg_gap;duration_1;duration_2;duration_3;duration_4;duration_5;
20rat99_v4_p1;20rat99_;v4_;p1;49;63,92;49;65,629;49;65,413;49;65,335;49;64,61;49;0;0;0;0;0;0;;63,923;65,629;65,413;65,335;64,605;64,981
20rd100_v4_p1;20rd100_;v4_;p1;67;120,49;67;105,201;67;114,672;67;83,13;67;108,50;67;0;0;0;0;0;0;;120,491;105,201;114,672;83,13;108,504;106,3996
212u1060_v4_p1;212u1060_;v4_;p1;1059;109,26;1059;163;1059;148;1059;147;1059;110,73;1059;0;0;0;0;0;0;;109,259;163,498;148,364;147,468;110,734;135,8646
217vm1084_v4_p1;217vm1084_;v4_;p1;1083;83,12;1083;93;1083;89;1083;77;1083;78,18;1083;0;0;0;0;0;0;;83,123;92,981;88,971;76,771;78,178;84,0048
21eil101_v4_p1;21eil101_;v4_;p1;97;77,86;97;85,956;97;92,13;97;84,903;97;96,27;97;0;0;0;0;0;0;;77,858;85,956;92,13;84,903;96,273;87,424
21lin105_v4_p1;21lin105_;v4_;p1;61;66,11;61;65,537;61;65,583;61;66,453;61;65,67;61;0;0;0;0;0;0;;66,106;65,537;65,583;66,453;65,669;65,8696
22pr107_v4_p1;22pr107_;v4_;p1;41;67,68;41;67,294;41;67,423;41;67,265;41;67,61;41;0;0;0;0;0;0;;67,681;67,294;67,423;67,265;67,61;67,4546
25pr124_v4_p1;25pr124_;v4_;p1;90;0,16;90;0,159;90;0,156;90;0,129;90;0,13;90;0;0;0;0;0;0;;0,155;0,159;0,156;0,129;0,132;0,1462
26bier127_v4_p1;26bier127_;v4_;p1;126;0,19;126;0,178;126;0,173;126;0,223;126;0,22;126;0;0;0;0;0;0;;0,185;0,178;0,173;0,223;0,22;0,1958
26ch130_v4_p1;26ch130_;v4_;p1;124;0,15;124;0,175;124;0,171;124;0,153;124;0,17;124;0;0;0;0;0;0;;0,153;0,175;0,171;0,153;0,173;0,165
28pr136_v4_p1;28pr136_;v4_;p1;98;0,17;98;0,155;98;0,167;98;0,161;98;0,16;98;0;0;0;0;0;0;;0,166;0,155;0,167;0,161;0,163;0,1624
29pr144_v4_p1;29pr144_;v4_;p1;111;0,21;111;0,218;111;0,214;111;0,246;111;0,26;111;0;0;0;0;0;0;;0,209;0,218;0,214;0,246;0,256;0,2286
30ch150_v4_p1;30ch150_;v4_;p1;116;0,23;116;0,231;116;0,21;116;0,206;116;0,24;116;0;0;0;0;0;0;;0,233;0,231;0,21;0,206;0,239;0,2238
30kroA150_v4_p1;30kroA150_;v4_;p1;132;0,18;132;0,197;132;0,179;132;0,218;132;0,17;132;0;0;0;0;0;0;;0,184;0,197;0,179;0,218;0,172;0,19
30kroB150_v4_p1;30kroB150_;v4_;p1;137;0,19;137;0,167;137;0,17;137;0,174;137;0,16;137;0;0;0;0;0;0;;0,192;0,167;0,17;0,174;0,159;0,1724
31pr152_v4_p1;31pr152_;v4_;p1;105;0,18;105;0,173;105;0,174;105;0,181;105;0,18;105;0;0;0;0;0;0;;0,18;0,173;0,174;0,181;0,18;0,1776
